bias,time,
0.100000001490116,1615879240.6329,
0.100000001490116,1615879240.83419,
0.100000001490116,1615879241.03641,
0.100000001490116,1615879241.23766,
0.100000001490116,1615879241.44082,
0.100000001490116,1615879241.64174,
0.100000001490116,1615879241.84266,
0.100000001490116,1615879242.04464,
0.100000001490116,1615879242.24621,
0.100000001490116,1615879242.4472,
0.100000001490116,1615879242.64825,
0.100000001490116,1615879242.85431,
0.100000001490116,1615879243.05345,
0.100000001490116,1615879243.25549,
0.100000001490116,1615879243.45744,
0.100000001490116,1615879243.65793,
0.100000001490116,1615879243.86187,
0.100000001490116,1615879244.06331,
0.100000001490116,1615879244.26469,
0.100000001490116,1615879244.46597,
0.100000001490116,1615879244.66919,
0.100000001490116,1615879244.8698,
0.100000001490116,1615879245.07278,
0.100000001490116,1615879245.27319,
0.100000001490116,1615879245.47527,
0.100000001490116,1615879245.68064,
0.100000001490116,1615879245.88228,
0.100000001490116,1615879246.08309,
0.100000001490116,1615879246.2854,
0.100000001490116,1615879246.48739,
0.100000001490116,1615879246.68665,
0.100000001490116,1615879246.89016,
0.100000001490116,1615879247.09278,
0.100000001490116,1615879247.29506,
0.100000001490116,1615879247.49618,
0.100000001490116,1615879247.69859,
0.100000001490116,1615879247.90036,
0.100000001490116,1615879248.10339,
0.100000001490116,1615879248.30503,
0.100000001490116,1615879248.50531,
0.100000001490116,1615879248.70968,
0.100000001490116,1615879248.9089,
0.100000001490116,1615879249.11136,
0.100000001490116,1615879249.31374,
0.100000001490116,1615879249.51598,
0.100000001490116,1615879249.71694,
0.100000001490116,1615879249.91739,
0.100000001490116,1615879250.11892,
0.100000001490116,1615879250.32331,
0.100000001490116,1615879250.52334,
0.100000001490116,1615879250.72442,
0.100000001490116,1615879250.92621,
0.100000001490116,1615879251.12821,
0.100000001490116,1615879251.3316,
0.100000001490116,1615879251.53136,
0.100000001490116,1615879251.73323,
0.100000001490116,1615879251.93609,
0.100000001490116,1615879252.13801,
0.100000001490116,1615879252.33944,
0.100000001490116,1615879252.5402,
0.100000001490116,1615879252.74026,
0.100000001490116,1615879252.94325,
0.100000001490116,1615879253.14654,
0.100000001490116,1615879253.34813,
0.100000001490116,1615879253.55013,
0.100000001490116,1615879253.75091,
0.100000001490116,1615879253.95296,
0.100000001490116,1615879254.15451,
0.100000001490116,1615879254.35582,
0.100000001490116,1615879254.55757,
0.100000001490116,1615879254.76058,
0.100000001490116,1615879254.96277,
0.100000001490116,1615879255.16461,
0.100000001490116,1615879255.36596,
0.100000001490116,1615879255.56885,
0.100000001490116,1615879255.76896,
0.100000001490116,1615879255.97245,
0.100000001490116,1615879256.17286,
0.100000001490116,1615879256.37385,
0.100000001490116,1615879256.57569,
0.100000001490116,1615879256.77849,
0.100000001490116,1615879256.98107,
0.100000001490116,1615879257.18329,
0.100000001490116,1615879257.38364,
0.100000001490116,1615879257.5839,
0.100000001490116,1615879257.78712,
0.100000001490116,1615879257.98916,
0.100000001490116,1615879258.19007,
0.100000001490116,1615879258.393,
0.100000001490116,1615879258.59435,
0.100000001490116,1615879258.79447,
0.100000001490116,1615879258.99747,
0.100000001490116,1615879259.19907,
0.100000001490116,1615879259.40162,
0.100000001490116,1615879259.60284,
0.100000001490116,1615879259.80635,
0.100000001490116,1615879260.00834,
0.100000001490116,1615879260.21368,
0.100000001490116,1615879260.41671,
0.100000001490116,1615879260.62216,
0.100000001490116,1615879260.81951,
0.100000001490116,1615879261.02218,
0.100000001490116,1615879261.22493,
0.100000001490116,1615879261.4255,
0.100000001490116,1615879261.62872,
0.100000001490116,1615879261.83161,
0.100000001490116,1615879262.03148,
0.100000001490116,1615879262.23566,
0.100000001490116,1615879262.437,
0.100000001490116,1615879262.63908,
0.100000001490116,1615879262.84059,
0.100000001490116,1615879263.0428,
0.100000001490116,1615879263.24444,
0.100000001490116,1615879263.44485,
0.100000001490116,1615879263.64882,
0.100000001490116,1615879263.85004,
0.100000001490116,1615879264.05171,
0.100000001490116,1615879264.25357,
0.100000001490116,1615879264.45395,
0.100000001490116,1615879264.65869,
0.100000001490116,1615879264.86277,
0.100000001490116,1615879265.06495,
0.100000001490116,1615879265.26708,
0.100000001490116,1615879265.46932,
0.100000001490116,1615879265.67068,
0.100000001490116,1615879265.87221,
0.100000001490116,1615879266.0733,
0.100000001490116,1615879266.27489,
0.100000001490116,1615879266.47761,
